pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ireland,6089.6514203,6348.8174941,6241.3689249,6497.3338016,6557.3542226,6926.7374022,6702.9630295,6521.0649166,6544.2692267,7008.0774148,7280.3054711,7703.0456845,7990.4556457,8348.3463394,8689.00631,8895.4298302,8864.2151619,9273.0877325,10093.1171,10829.193324,10953.968941,11201.689458,11912.838932,12603.755195,12682.527271,12233.705165,12607.72619,13551.585689,14479.466664,15089.821203,14692.523175,15074.770936,14815.95305,14424.596288,14707.553123,14882.148147,14854.494285,15187.376435,15894.039029,17159.346443,18692.723515,18723.129347,18804.149911,19064.090523,20200.036343,22303.425917,24161.675493,26700.587909,28628.551461,31330.521268,34185.541184,35351.914059,36875.079992,38247.590673,38985.034564,40247.222351,41158.909939,42236.869407,40016.10838,35725.70125,34902.26239
Israel,4895.5801191,5259.6243244,4764.2682871,4553.617059,5178.4450927,5706.6075095,6236.7173519,6145.7319479,6296.9913485,6748.2179256,6989.8985908,7595.5179964,8033.5130553,8469.1366129,8889.5093384,9300.0606983,9010.5196974,9083.791552,10494.637483,11691.827898,12320.871913,13166.026051,13991.251119,15091.689223,15391.38775,15795.204624,15122.746216,14523.292469,15053.663661,15316.336272,15198.845761,15798.000713,15884.65136,16122.880327,15861.610143,15952.263906,16213.613692,17271.407055,17367.15488,16974.884253,17848.915637,18784.633729,19430.270734,19561.076313,20224.164549,20789.878849,21307.908605,21437.543246,21718.136077,21831.413676,23234.109913,22595.456694,21889.115805,21816.768656,22468.797213,23227.203774,24113.139317,25072.131068,25642.309949,25241.072609,26037.841482
Italy,5236.1111861,5655.4991681,5864.9370647,6234.1787295,6454.8564254,6825.4802983,7072.4644035,7327.1580177,7612.9712362,8069.4851287,8718.9246849,9386.7988191,9925.1971772,10433.954811,10588.501737,10826.351835,11422.968938,12146.142215,12879.750405,13599.990493,14258.223927,14357.675015,14757.87098,15762.941642,16487.973121,15741.229813,16855.659465,17114.572013,17520.890332,18637.109359,19549.043146,19592.192288,19655.45845,19717.541366,20468.553732,21070.683771,21761.755027,22526.720657,23477.718098,24220.522488,24781.68576,25156.063316,25215.617733,24792.72241,25354.618363,26155.284526,26442.237192,26906.529825,27231.349116,27666.08398,28675.744621,29146.029974,29244.069855,29141.871233,29473.412382,29561.741191,30173.95338,30510.603019,29901.461061,28007.831419,28380.923754
Jamaica,,,,4268.0658857,4677.0825058,5061.6193134,5514.3538151,6107.8483949,6137.5006578,6216.1402225,6456.3098141,6676.3475887,6755.095814,7088.9914497,7349.6127128,7472.8406099,7412.5149677,7326.7324845,7349.0592946,7548.7169745,8479.7590901,8660.9334992,9344.8805457,9327.4206296,8873.2695781,8709.2389577,8070.6873978,7777.1858338,7741.3942056,7513.2781746,7044.7394045,7154.9950568,7115.9764151,7224.701472,7107.3188706,7060.2792819,6819.0293132,7331.9962915,7549.1728356,8035.6175693,8437.3839332,8442.0429887,9207.8881584,9325.9160733,9284.6428814,9248.7354555,9184.9381247,9013.7373034,8824.7757395,8767.5831686,8747.4532233,8819.5740224,8850.6655788,8943.2228112,8910.3244116,8992.7783329,9135.4664215,9158.2185661,9038.4200089,8718.9905834,8542.3850426
Japan,2793.9788791,3077.9849552,3365.2515427,3558.0516253,3702.916988,3951.1943242,4192.4442639,4459.3377689,4637.6634061,5000.1331297,5594.3390868,6230.9262059,6719.6162748,7223.3726851,7997.5884451,8340.3859959,9159.5048071,10095.84174,11287.158358,12552.970486,13754.666294,14163.949002,15182.598939,16231.99729,15745.614333,15927.46304,16342.794913,16866.621533,17626.73026,18471.292904,18744.750809,19250.82955,19741.008577,20093.77262,20798.374887,21920.501273,22516.808882,23377.211134,25013.457697,26261.965073,27638.498114,28440.550518,28521.499943,28453.349437,28543.185678,28949.285752,29603.575677,29968.701344,29200.821456,28998.265069,29777.696735,29716.957885,29634.356666,29989.868567,30785.111339,31379.767689,32028.035915,32775.849424,32384.250995,30094.166324,31453.080503
Jordan,,,,,2141.1182297,1616.2213984,2305.5406462,2202.4447865,2333.3583656,2706.9875561,2721.0336389,3175.0396327,3030.7665639,3060.9693561,3487.241453,3713.0917937,3592.5969323,3640.6877874,3055.5531735,3143.0586478,2726.3288417,2752.24889,2801.9887156,2456.3498897,2433.4546027,2301.9675275,2629.1949868,2779.2914505,3021.0867479,3303.1128334,3782.1709708,4276.3540041,4374.903031,4108.374058,4041.3586053,3693.0795508,3958.3296136,3833.4226031,3688.8697441,3040.8976667,2979.5879744,2787.8886546,3135.8100926,3231.0718365,3261.951761,3400.3876621,3325.3735495,3308.2106046,3295.0851965,3349.6919544,3374.5600046,3476.0250051,3652.7837484,3714.7293676,3946.6289159,4248.7519415,4210.8077042,4242.515746,4467.6360237,4349.5511751,4469.0709038
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5938.1312019,5149.5631244,4567.9364293,4596.7308707,4567.9188835,4348.8051714,4583.7669978,4914.4923222,5565.995135,6147.9839963,7216.8197429,8050.0491551,8791.0885141,9966.2754409,10682.594299,11192.971301,11501.419825,12304.921952
Kenya,971.26933413,1121.143318,1022.4522715,948.11451393,1001.1764197,1024.8031465,1039.6153496,1058.6365084,1033.6813815,968.37612455,1019.0564829,964.57402384,1014.6641177,1019.7659993,1050.0000732,1069.5413634,1150.1218163,1160.7308395,1102.084505,1132.516765,1021.5808509,1047.7800337,1072.7309907,1039.5375591,1099.0972318,1034.6700638,1005.3730501,1050.4343625,1125.0645324,1115.2447745,1135.8056009,1102.8242256,1084.7188406,1039.7211021,1043.1339192,1008.9570511,1079.99861,1112.6042528,1149.8671616,1171.9440589,1179.7675725,1159.5436209,1104.934813,1084.2646964,1100.971474,1121.2886665,1135.6406176,1089.5673147,1111.8291617,1132.7617841,1112.4554272,1093.8192961,1104.0326028,1132.1862107,1126.3522014,1143.7311654,1160.6952303,1203.75258,1168.7779101,1160.9371027,1246.2956444
Kiribati,,,,,,,,,,,,,,,,,,,,,5804.4762919,5551.1849492,6111.0050388,7353.5848882,10235.555891,10480.879461,7528.044659,7109.561045,7226.1946945,6278.430457,3619.1506779,3450.8817589,3773.6712195,3325.4408594,3484.9520388,3346.8643897,3343.8128769,3124.844942,3565.1774251,3188.1119625,3219.249149,3255.1123975,3160.8890165,3161.6317631,3233.2049327,3221.304178,3328.1803147,3384.9403077,3629.0372527,3582.6447699,3706.3504592,3504.0220873,3689.8746238,3792.6168889,3711.0878918,3829.6752476,3881.2597096,3793.1932828,3864.6019616,3720.8970635,3664.6666677
Korea Rep.,,,,1493.3206006,1510.9972202,1615.89723,1644.92779,1732.3959457,1733.181048,1703.7149683,1670.0077517,1702.8897892,1686.5513628,1805.7074138,1883.0700562,1926.9439397,2128.9504739,2198.5516586,2402.2703809,2678.0295049,2829.2843872,3041.4899282,3106.7021069,3411.5331055,3700.8247033,3812.6134655,4168.2131258,4566.7040638,5051.1632579,5497.3802585,5203.7439396,5413.1146746,5731.2091064,6301.2129421,6786.5696221,7220.5946771,7915.5233343,8713.3096348,9673.0427987,10574.839092,11633.126184,12675.934254,13056.495972,13703.19131,14788.428668,15850.571041,16856.647194,17364.556956,15482.130982,17333.7821,18723.832623,19271.74907,20558.965589,21007.60393,21806.939765,22577.33468,23653.961433,24788.471801,25279.241513,24873.913036,26613.769748
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29301.258616,28826.473466,28436.268469,33258.624726,22943.697998,31220.015387,35748.198849,45437.995417,43882.062977,43962.755279,43345.082747,41156.613933,41223.582268,36522.707731,37245.360688,36681.293178,36073.390145,42443.662681,45588.874238,48940.23044,51230.064585,51449.47128,52501.496105,44339.467795,41244.182496
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.1889665,1613.8387448,1323.0035993,1377.8553465,1552.6748088,1592.381174,1596.5117475,1634.3677723,1706.5100786,1694.4021767,1834.6289736,1920.1495674,1889.6658932,1893.0894348,1988.8909448,2127.1843855,2096.0409644,2081.1447667
Laos,,,,,,,,,,,,,,,,,,,,,563.84832777,579.91696784,587.74003188,625.98738454,634.79679181,662.41404129,679.04704846,658.80954821,657.94718764,638.67952713,698.5198004,796.10821514,815.47533115,823.97666744,835.83996874,917.28879255,933.82021809,891.86261009,877.3960842,960.9171954,988.54177758,1001.447969,1036.5372166,1066.1615695,1123.9024044,1172.9486038,1234.556667,1290.2542106,1262.6971037,1289.6432861,1370.056365,1406.1739417,1465.0216232,1525.5826561,1604.6265526,1727.0644733,1872.5918648,2167.5144374,2307.8769433,2492.00398,2620.0617059
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5676.2230943,5887.2107383,6019.1167643,6310.7184306,6888.1676283,7159.9685062,7444.4895336,7996.2516766,8585.0234582,9281.7322154,9945.0878587,10802.010376,12030.626924,13474.079353,14857.085233,14658.193712,12399.492868,12425.17102
Lebanon,,,,,,,,,,,,,,,,,,,,,10760.910449,11530.288982,12651.219957,12870.171801,12613.666098,8567.0696737,3812.9211162,6654.6353562,6420.7490603,6738.9352998,6672.9710031,6819.702623,3813.7774595,4875.6728391,7276.8794406,9450.5656922,8526.800491,10294.353391,7180.3417947,4032.6457149,5515.6173913,7429.7531975,7107.589699,7675.4551522,8219.5297642,8676.2322046,8992.5135493,8339.7123242,8666.4735061,8304.1147192,8278.0750213,8666.5912548,8748.758048,9014.4801174,9765.6404707,9778.5059436,10012.863492,10627.381903,11333.828801,12106.835084,12701.539349
Lesotho,,,,,,,,,,,394.89163933,396.18288372,441.16453567,475.21027962,499.65896241,500.00775712,499.46431518,542.20467275,527.47310534,519.75015001,520.12476606,454.03736496,530.72151912,654.71260942,683.26673347,613.35965205,692.04822498,784.62262685,912.11825461,772.36438884,723.43529338,721.02953401,725.89127649,665.78045223,658.37675354,694.33365938,691.55569733,710.02641272,753.81170461,795.87653337,822.47753041,810.22177922,800.59975804,851.22196117,886.90938692,892.27062679,961.8221631,1033.8411939,969.27042925,1019.7357239,1078.8318191,1052.6341564,1155.2855035,1191.0901401,1216.1560832,1180.6104782,1253.4552513,1336.9431548,1382.9853333,1368.4230681,1393.4708898
Liberia,,,,,,,,,,,,,,,,,,,,,1297.1898371,1323.4978007,1363.3065044,1414.0958747,1429.431596,1202.2640169,1251.7968675,1301.3033199,1318.5270141,1098.6241522,1195.0802493,1068.9632555,1090.6462055,991.7486133,1030.6381245,987.12970817,804.2206468,922.0193631,944.00826023,926.61997606,511.19758327,527.87076402,321.42143775,208.92901876,166.45331569,160.79722121,177.30696025,336.9451637,390.02757307,455.12903755,537.73001164,542.01917639,548.84180741,380.47475882,380.49429659,378.10413416,396.27308281,451.12473006,442.20111251,442.23262399,459.24799896
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17082.897702,13160.592694,13978.207544,14977.416766,18015.002482,20206.7219,19512.299073,18553.065482,16870.580898,17488.172235,16580.330719,18631.808223,15649.234997,15623.779355,17073.038957,15132.566019,15110.852311,16762.617547,17556.222604,17896.765355,19166.798793,19681.083481,19588.553443,19136.472141,19490.819123
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8344.8042611,7241.6479493,7342.4254782,7709.6248967,8194.8000077,8707.7685522,8607.9028708,8930.9698847,9531.0327147,10222.905287,11275.010595,12061.621448,13068.064315,14123.400556,15408.704251,15940.416588,13801.622368,14136.059126
Luxembourg,15059.196953,14104.716094,14904.748498,15266.174943,15006.102515,15583.068241,16193.422095,17009.002967,17064.909007,16960.619168,17613.740117,18137.348348,18167.20404,18278.799994,19766.474386,19815.616374,19797.92425,19710.729349,20633.810557,22852.115215,23111.007493,23504.172301,24772.883139,26723.540783,27704.531406,25250.414188,25727.757125,26175.30344,27140.36878,27923.582395,27909.942766,27545.62653,27786.972605,28698.531373,30794.16687,31791.613008,34751.757345,35849.162611,38715.983572,42481.391447,44733.978651,48241.515714,48504.074783,49946.594032,51361.868145,51367.204896,51266.195398,53686.006469,56645.437317,60887.295411,65131.136185,66009.596713,67517.035898,67997.02342,70116.280449,73242.966978,75898.618227,80215.482369,79829.412797,74030.888161,75589.759562
Macao China,,,,,,,,,,,,,,,,,,,,,6414.9031792,6860.5406864,7465.9598018,8122.5061157,8837.0118887,9618.5818885,10478.134654,11418.087779,12349.461542,13162.750442,13939.222473,14785.723031,15301.489114,15630.41398,16355.690922,16292.903445,16965.242553,18639.483485,19639.277946,20192.367881,21381.941372,21442.286801,23528.405379,24250.700712,24700.63193,25167.938395,24724.430884,24281.511781,22857.858375,21938.125439,22480.8285,22840.919107,24632.183508,28013.81499,34867.88833,36939.01942,40492.839114,44166.536322,43763.70158,43708.779154,54785.259275
Macedonia FYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6395.0441414,6134.1356119,5664.1727869,5651.2664364,5602.984055,5474.6332708,5499.9974266,5499.8958138,5656.437608,5890.3770791,6106.2166863,5854.3772275,5849.1716823,6029.3694049,6299.817091,6573.2465765,6881.8697301,7258.4165333,7646.1715415,7543.094163,7626.390178
Madagascar,,,,,,,,,,,1051.1198396,1079.247253,1083.3519739,1000.5266071,1024.5059168,1008.6894703,1015.7144188,1078.0243129,1102.9750426,1112.4803903,1160.6752553,1099.0842784,1162.6162735,1154.1035592,1163.6798495,1149.2105803,1140.9572449,1134.4019744,1041.1335227,963.38503461,966.78385441,939.45268624,907.51917546,913.95056226,917.65174854,889.55577747,894.10455526,885.35325959,883.34916596,927.6028887,881.92999156,837.00105311,816.60820195,801.30386863,787.68862122,777.40737449,769.83215374,763.56413798,760.67862928,780.51677679,787.22205475,801.86181803,668.21266268,680.0689127,689.80274921,717.50190687,736.65552634,748.21411378,721.65452905,699.66967099,702.34963089
Malawi,,,,,285.01124222,307.89582233,308.72659836,336.75051833,336.26268144,297.24087372,330.98649408,363.76130357,331.44270672,329.48201512,329.39246999,399.83297069,451.55660511,430.75806629,431.83936289,468.11316499,522.31357185,584.36905505,624.52241997,594.38745285,637.77911646,664.8503201,650.76154209,673.30680199,766.23890031,722.12359578,728.98868936,601.64668707,588.9103661,604.03522162,614.02532457,616.00088689,591.7719729,553.55411757,523.60049448,530.4962152,511.2462225,554.07666773,473.87987523,538.96951459,452.47924315,497.22702934,476.68537368,492.18563609,471.68932603,478.68380981,465.12119329,431.111061,439.5227645,450.33985261,472.06228691,481.41760024,506.54098641,550.52196436,588.60373378,618.01929904,654.90877526
Malaysia,,,,,,1328.6166755,1358.2112076,1344.1837687,1286.1206823,1372.0061452,1453.4880637,1518.650259,1575.8778139,1636.5544056,1667.6563447,1747.3718089,1825.0344594,1846.1321833,1936.9113078,1978.1760749,2065.1008497,2499.7435791,2654.1446926,2939.3680152,3165.8709357,3057.1199089,3359.8479536,3559.7383763,3725.2984787,4024.7751563,4249.5878108,4411.3049788,4561.516565,4711.7838569,4946.7943854,4685.305954,4554.0732619,4665.417931,4998.3503371,5396.2478231,5814.6617241,6271.8533503,6668.5665545,7195.3210085,7783.635702,8460.1049293,9062.9263831,9476.4955831,8469.3369941,8794.9301759,9474.3853857,9162.632684,9447.7885335,9702.6069302,10172.973331,10482.199054,10937.16811,11434.730334,11694.556084,11153.635666,11961.504522
Maldives,,,,,,,,,,,,,,,,,,,,,728.67558543,738.83749231,733.30275419,727.18892285,750.58522208,670.3767962,654.66154671,707.02407686,787.61633499,848.88193972,979.37006832,1064.1583469,1002.5060632,1131.0068266,1391.7876175,1525.982733,1603.7249073,1677.3491815,1752.2958476,1836.8889002,2050.6963939,2113.671437,2143.723914,2192.1327582,2254.7289871,2353.0405856,2542.311116,2709.2396718,2915.872045,2845.9282929,3090.3879681,3133.8451254,3273.1093011,3900.8028216,4208.1152285,4133.1367698,4288.9566209,4586.0932395,4623.7634415,4349.9458931,4005.0488222
Mali,,,,,,,,,,,529.74163117,510.52084879,491.06388433,511.54305434,419.96767156,428.61799778,434.23172799,418.32112043,437.5079839,432.73100713,462.05356283,460.22358631,469.04517687,446.59195349,404.42150833,463.10181485,521.64180373,546.28243998,533.04897328,578.01051661,537.23194213,561.01398918,583.42977596,532.61772031,517.90693413,563.88261013,653.85142788,628.33714175,616.8726333,649.53569433,649.77720996,629.78271983,675.6297629,706.27787474,687.05880879,709.42119012,720.16553891,728.25558794,767.79019928,782.8675146,731.35949218,788.17189876,794.15766466,839.23877964,845.07435139,870.49069526,897.82847842,916.70451005,959.57025921,980.83700145,997.69738872
Malta,,,,,,,,,,,,,,,,,,,,,3732.0662636,3828.5261911,4118.8481049,4265.4369486,4684.9990529,5459.3855545,6452.3690094,7237.110157,8091.7879931,8911.7092259,9126.6719432,9404.9445538,9565.1034677,9689.2440002,9881.6677613,10157.15231,10682.757845,11016.984102,11791.574661,12546.788963,13149.437042,13863.857427,14450.342498,14957.35401,15727.704184,16282.592953,16693.779801,17379.445425,18070.407984,18834.568951,19951.691882,19351.900727,19663.311669,19751.636827,19617.886272,20313.79968,20719.616144,21488.68738,22197.203799,21462.254002,21851.198168
Marshall Islands,,,,,,,,,,,,,,,,,,,,,4706.9219167,4607.4704164,4456.4291055,5726.2793016,6381.6859985,6168.6716922,6021.2588142,5989.0501925,6190.3815604,6177.2086346,5694.1882649,5971.4550362,6079.1465541,6723.6557228,6423.4791664,5874.2498713,7074.3910785,7558.6325553,7629.359618,7255.6672857,7582.3446758,7224.5261774,7543.9835142,7880.0768396,8237.2854706,8810.8178629,7838.3766949,7325.7996968,6968.9777762,6677.7933165,6919.4318793,7051.0941212,7179.6033078,7238.6604717,7550.4850389,7530.3070005,7427.1971833,7358.7053024,7304.8654481,7004.2544757,6896.3761797
Mauritania,,,,,,,,,,,620.56541798,531.1080792,567.27232688,625.53136653,958.03459447,1119.9270444,1113.2445575,1193.5377627,1331.5986152,1293.7570855,1417.9136813,1396.8891206,1462.7805594,1398.1815926,1489.722085,1640.2932945,1749.2128405,1707.956545,1619.4474903,1723.4623808,1499.297939,1700.3584973,1586.2559675,1769.0004883,1508.7576119,1561.1439245,1684.3956143,1635.5508027,1572.9637688,1588.9645085,1591.6771356,1558.7593366,1545.4985984,1627.3450189,1602.372676,1466.2716381,1654.2098862,1580.969073,1602.3642283,1640.5898377,1589.5146831,1580.6486446,1548.5327361,1554.2688341,1586.0445584,1649.0175312,2014.1361634,1980.646051,1946.9163334,1876.5451156,1939.3881856
Mauritius,2860.6994101,2900.0851629,2729.2583842,2705.4223621,2481.8796452,2523.2610384,2448.583692,2475.7394844,2416.5466131,2408.146239,2283.7973893,2382.2805992,2388.2953438,2544.2016296,2489.051286,2430.5906927,2263.6380334,2404.2257395,2026.4468588,2094.4190635,2040.7739922,1973.9917655,2208.8859444,2493.0121904,2473.5431217,2800.5324686,3367.7905793,3491.3259201,3591.9288327,3653.3029615,3078.3915985,3280.8955139,3323.5322758,3299.7023123,3455.0109878,3667.6435912,3996.4653045,4383.7502001,4663.5563878,4809.7437471,5154.090964,5265.4065527,5546.1806213,5746.7838313,5925.3675753,6087.5497396,6316.4529522,6661.9389187,6986.1082643,7091.0480617,7579.8793228,7557.2982261,7743.0040632,8188.469254,8505.4343765,8360.4728515,8709.4087959,9245.153314,9684.551508,9892.1100083,10163.742033
Mexico,3642.0783801,3898.847592,3930.2892091,3783.4437731,4075.215093,4277.5513802,4490.1554674,4705.666327,4752.5142805,4693.4547896,4942.1093564,4916.3925065,4939.151467,5249.9840445,5790.9257461,5932.1417991,6108.3822365,6258.2197409,6617.8117877,6632.9683762,6847.5035001,6908.078632,7287.9635992,7702.5727069,8015.3062235,8296.6890266,8397.6728391,8400.8265445,8908.1402066,9554.5015862,10225.061353,10896.03157,10271.879568,9403.7854224,9534.8302875,9655.9054412,9015.5118505,8934.5031959,8885.4251654,9091.3799759,9427.1876196,9707.2669541,9945.5345975,9916.5698051,10220.597991,9157.6552892,9512.1902935,10091.824326,10471.887302,10759.260719,11379.895047,11202.193807,11141.236152,11053.444773,11395.713541,11641.862055,12105.944932,12374.194303,12383.575971,11427.240278,11939.770303
Micronesia Fed. Sts.,,,,,,,,,,,,,,,,,,,,,2189.0382196,2171.8470657,2129.1017746,2744.201314,3087.9696479,2998.0489169,2919.9969766,2901.9152899,2974.110874,2946.8043413,2653.822359,2819.7968838,2659.2013233,2623.3625619,2439.5826349,2752.6996166,2860.9415941,2811.923092,2872.1337181,2797.1008932,2810.0779847,2894.7869185,2935.9474854,3058.1726873,3451.8586886,3570.9814036,3470.9710553,3265.4335404,3329.6950302,3369.9449233,3495.6177025,3558.5694768,3558.7928495,3625.8573002,3522.1939156,3587.5349975,3593.0382702,3517.0238555,3445.769734,3475.868716,3591.8374367
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2221.6595738,2156.8555232,1632.7550191,1698.9001635,1660.0003247,1765.8545811,1653.0230394,1466.9882724,1558.1341942,1624.1025158,1781.7121253,1925.8046409,2026.5204919,2194.05933,2303.6911608,2336.8565296,2516.3069119,2475.813268,2643.6350644
Mongolia,,,,,,,,,,,,,,,,,,,,,1756.2435685,1787.2559029,1799.7177107,1902.9966624,1923.125494,1987.4169471,2007.5818072,2105.4829458,2201.1097637,2231.6336087,2307.5277648,2624.2177703,2870.895816,2707.8301812,2773.629329,2852.471198,2676.2970168,2748.0153476,2776.1302659,2739.6386325,3093.4849115,2423.4196838,2027.8304646,1886.8953133,1916.7339915,2034.8576051,2023.0724702,2026.916547,2110.3733697,2136.5465126,2219.146756,2213.3185492,2272.1663592,2356.8015607,2536.7342527,2651.1741471,2881.0971373,3155.8778338,3419.8884,3285.6376917,3522.5642376
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7950.7304165,6999.9177744,5089.4367393,3157.8679748,3120.5190605,3472.7765964,4345.5569343,4577.0199594,4718.1132879,4219.8757519,4766.1663672,4801.5672541,5012.1879225,5211.2170906,5470.2501085,5735.8770193,6188.6335922,6818.5114207,7273.230709,7038.9900691,7314.9052976
Morocco,826.5566473,818.16870634,825.82532132,846.11039896,835.22720723,733.23396709,723.00006748,661.79998504,739.65045757,721.0336678,718.02639651,860.83047398,1012.2323759,1154.3518324,1215.9001974,1213.0242634,1156.1646123,1250.2250142,1345.4669157,1433.3397981,1472.7722442,1508.4849782,1452.7917895,1488.3216018,1511.2602721,1807.4603544,1957.887315,2095.6811088,1945.4837627,1981.5687028,2042.2253797,1938.8821804,2082.4091835,1971.6706901,2017.1051417,2094.3857334,2191.2272748,2070.1118974,2225.0553679,2279.458484,2332.8151895,2424.0877434,2281.7601074,2177.4226715,2350.9522872,2161.7455228,2386.2993045,2318.9204443,2484.459498,2444.9345444,2447.7638207,2616.7413456,2675.9751919,2868.2154074,2984.7433355,2998.4590928,3204.7300012,3279.1580873,3451.9621784,3533.5566666,3621.1365196
Mozambique,,,,,,,,,,,308.76055628,307.79204362,327.8785925,327.30779973,333.64568917,330.80150975,326.66284115,356.79844976,363.14754284,378.81417936,353.3361523,370.49839896,377.86027205,384.19830311,397.52604966,403.16052767,411.71085367,399.89331676,390.2235849,387.64928214,405.70488054,387.53185704,362.65549184,316.0320536,323.63187159,305.71968814,289.7502341,306.43022811,327.44333083,350.73997587,346.84465141,357.19418752,332.7084605,348.29163846,340.41749365,325.85156154,365.32376973,394.54475601,424.57972819,435.17813372,436.81593638,487.58566737,531.8182852,558.93074886,594.56659101,628.46715667,668.34834785,703.62340654,727.04151292,754.76244175,781.18187686
Namibia,,,,,,,,,,,2776.26418,2735.9240022,3048.9168677,3166.5161297,3444.7602317,3486.6304303,3607.8084487,3572.6799133,3613.0865297,3776.2314729,4082.4248584,4144.0884572,4076.8328365,4092.2530047,4226.0250617,4169.2548856,4078.1132933,3944.9711087,4009.0746208,4040.5591943,4072.5409383,4282.0992927,4030.0838776,3744.8574695,3592.486599,3131.5200554,3166.8519111,3885.3685016,3693.823709,3561.6267027,3513.6873213,3430.1453617,3560.8869717,3233.5745775,3535.4920574,3649.8259686,3673.4221113,3583.9742182,3589.6675621,3564.6094466,3638.5238448,3835.9403775,3746.7070674,3872.1429679,4267.0019234,4244.8872506,4752.1892557,4634.0999406,4939.2535153,4668.806707,4807.1161897
Nepal,,,,,,,,,,,537.62604,537.78451611,538.99213284,540.57495199,572.9522601,555.17257152,583.686811,560.86910741,553.48849118,571.00907362,581.97695551,563.91035811,570.15848988,556.34250109,580.54508988,576.99095235,588.2099008,592.01191541,605.85595612,607.53604599,581.62305364,615.15336195,626.53776714,594.74382945,635.51462094,625.05270512,672.71741859,666.61353064,699.2237025,713.60228764,720.76169658,747.11004162,748.53276863,755.94462369,791.23644801,797.29458021,818.76612208,831.60678963,791.77099328,779.53449869,831.92903349,918.26011156,907.91387146,931.32629539,961.36239534,980.97315485,999.76435156,1022.6580923,1073.5525718,1109.3871963,1144.8682957
Netherlands,10117.535612,9911.3751009,9747.4083355,10526.893689,11335.830234,11932.768547,12555.316559,12616.814583,11983.613821,12372.626893,13436.557327,13366.881002,14074.290362,14452.601324,15411.849232,15998.062341,16175.674942,16841.238093,17764.325132,18630.07213,19581.641208,19986.031145,20156.290611,21135.943323,21862.722148,21762.362721,22655.717783,23176.344967,23735.771132,23915.527169,23998.930181,22991.524848,22565.572134,22887.994532,23481.018975,23969.089512,24555.113717,24857.066259,25501.944091,26424.313381,27275.870881,27739.994983,28009.246029,28088.767233,28731.732892,29514.91981,30415.068728,31610.365625,32732.060566,34068.269581,35182.490383,35615.890276,35366.061614,35251.882828,35841.021715,36402.481864,37469.71679,38770.522461,39295.865126,37643.684258,38189.654039
New Zealand,11714.919708,11302.121781,10982.894294,10970.044836,11969.754742,12221.779866,12153.81862,12497.635768,12262.739814,12468.076035,14269.149747,14621.489238,14610.951953,15214.935459,15665.693329,16411.265005,17120.852609,16014.83908,15826.384731,17154.788883,16853.307565,17124.810133,17678.714948,18671.975504,19226.165745,18320.894001,18236.711656,17435.379956,17184.015778,17261.877555,17208.260189,17668.329903,17684.095984,18330.192318,19125.344254,19104.026934,19344.197917,19631.811488,19905.345038,19929.755439,19784.324451,19281.230923,19305.403448,20177.522649,20973.749284,21511.866046,21888.20138,22297.262263,22466.798099,23511.92785,23917.524197,24510.270672,25322.209853,25974.924449,26589.240639,27253.938199,27617.314843,28051.316171,27608.27015,27508.666178,27788.349082
Nicaragua,1926.7456581,2105.1659255,2396.8192034,2421.7890896,2630.9134108,2644.785579,2584.5443624,2677.0291848,2589.2337998,2457.0208937,2490.7781551,2580.6198832,2812.6795555,2932.6498545,3182.519458,3440.8956276,3470.5769392,3584.2616527,3481.7527049,3602.9719576,3535.5943529,3577.9774366,3571.1063461,3690.7837594,3871.9453058,4059.2340535,4146.6094854,4184.0350032,3839.6379306,2355.5422693,3046.1965799,3199.3641785,3055.8701768,3225.2937225,3233.1710754,3113.2276264,3057.4917851,2995.2074357,2412.0724564,2183.3332552,2109.7330056,1974.1438666,1887.2828928,1762.9664095,1773.3907208,1829.073935,1891.1072928,1903.1990542,1929.9121742,2041.3274805,2064.9035527,2069.7928397,2044.3578406,2058.4047726,2127.7512047,2189.4243068,2236.2100147,2255.4845132,2284.0393013,2221.7508603,2289.2883287
