pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bolivia,3128.778484,3297.4142121,3254.2204272,2736.6349004,2718.2293424,2846.4604699,2670.7708322,2635.7998679,2562.2921439,2597.0773002,2614.3355528,2641.5765962,2655.935069,2802.3842846,2858.845212,2964.4865778,3098.7826206,3286.2758296,2759.8236699,2783.5642784,2689.5546834,2739.5539222,2834.0308652,2953.5595988,2994.317206,3104.7675929,3254.5846929,3340.4143297,3285.1825335,3247.5657359,3177.2452621,3138.8064732,2980.9848077,2768.743211,2713.2319197,2647.8795079,2552.2091821,2589.6402577,2617.9873381,2675.7299524,2724.135246,2776.3086954,2754.7767617,2810.4937387,2892.9184684,2953.7956922,2999.6517342,3049.0969942,3098.7993328,3086.5027473,3117.1397173,3133.6364452,3128.152411,3170.7860875,3258.0332633,3312.7407131,3418.8549546,3498.936317,3613.2837369,3661.0830307,3743.1514799
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151.5678347,1031.7981864,1024.1258507,1065.4790216,1211.8695748,1610.4857864,2854.2781458,3653.0282724,3988.3751938,4296.5496821,4403.0470411,4478.1181518,4593.2622873,4666.3106281,4625.9186391,4828.065757,5222.5283331,5664.9813195,6017.3499809,5881.553556,5941.9285123
Botswana,,,,,,,,,,,681.76013177,729.532098,780.98029295,803.16411848,848.94626787,733.57700376,857.69953971,1024.6517003,1209.8578366,1082.2527278,1389.6604517,1779.1669027,2214.3416371,2530.4117651,2505.3822675,2508.0695949,2521.0037273,2633.3346893,2932.1904735,3202.1265633,3407.9915654,3412.2531678,3487.7438839,3790.2311707,4097.3124444,4244.4941519,4434.1917485,4480.9595289,5324.0118566,6400.6127702,6637.8552771,6637.8820415,6517.0037379,6445.3395522,6321.0181768,6670.3321305,6730.7529304,6965.4480288,7224.9720128,7924.0309409,8701.0977061,8366.4439057,8946.7931969,9062.3014518,9850.4544318,9441.3789244,9806.1510476,10489.724485,10851.97151,9276.0717266,9673.1139514
Brazil,1699.481885,1737.7309041,1853.94358,1867.4073954,1977.1779897,2041.3344325,2042.836883,2195.9767018,2263.9352968,2374.9101305,2469.0884071,2739.1094845,2800.5067503,2884.4627249,2926.9410462,3055.9049609,3086.194908,3159.857638,3426.2246417,3566.1813288,3844.6393886,4207.0178611,4596.7951648,5101.697847,5418.6628562,5519.1292004,6007.1076151,6087.0001362,6237.1782882,6537.063977,6943.0752526,6372.4243874,6292.7249419,5911.1277787,5997.6524495,6140.1611365,6749.9262585,6757.8441352,6543.2506862,6486.0578803,6162.6459719,6116.7749569,6010.7232871,6121.9347215,6377.0198741,6649.070834,6693.8451502,6823.7686211,6714.4633827,6627.2465321,6834.3428848,6818.1313232,6854.7481919,6816.5025584,7118.3030538,7234.0496685,7432.3039278,7789.2159444,8085.5963596,7975.7692567,8324.7010638
Brunei,,,,,,,,,,,,,,,,,,,,,51630.490319,52515.486057,56453.832045,60725.975919,62115.955841,64734.979763,74926.179019,80047.232859,82719.064705,98024.180627,87217.695405,67947.486897,69360.400858,67517.162047,65632.37229,58941.847938,52458.094124,49964.6501,50694.679341,48865.712981,46913.284787,47100.653756,48265.684741,49388.667737,48785.008886,51094.571928,53904.92991,49386.15829,44418.771923,46212.707389,48107.635343,48795.735655,50159.617882,50683.161206,50713.233065,48775.908863,50448.326427,47850.737971,44350.658886,43351.433297,44543.010808
Bulgaria,,,,,,,,,,,,,,,,,,,,,2784.4627948,2960.1961925,3171.8299455,3413.6645093,3646.6979712,3947.3661361,4192.6477387,4430.8489066,4667.0984646,5002.1995781,5232.9266431,5448.4435583,5594.0120908,5785.8362414,5950.8420538,6108.5787614,6292.3084426,6721.5815745,7385.6549673,7158.7001886,6698.2311909,7366.1596351,6828.3523236,6440.2561187,6462.4153009,6690.7302911,6137.5877394,5944.9030287,6114.5031717,6212.3981934,6591.6200734,6941.5936224,7315.4274105,7790.7238029,8364.438951,8903.995493,9503.3882418,10164.057035,10779.621241,10399.025992,10588.961425
Burkina Faso,,,,,,,,,,525.176704,518.29512492,451.09363981,471.56581019,460.71816858,464.17180085,460.10207153,455.12266858,487.57240295,504.20382933,508.20654499,510.47194715,500.44092008,607.18843839,570.20609868,593.52936357,616.77341819,591.66063479,625.89621572,678.08966045,674.65203676,652.31013004,676.0418723,676.44052397,624.35600873,591.73779802,634.69775481,659.75688879,641.36186227,657.10339064,650.22078117,628.20660295,664.72385722,641.29254367,642.03483201,639.72379159,648.0090002,692.75495578,718.93911108,747.03375538,764.92851724,753.06225726,770.38829095,768.37507942,797.00520538,807.56978163,848.87068863,876.53667313,884.03138829,911.26450658,896.55127995,929.68840606
Burundi,,,,,,,,,,,347.6742898,291.39219469,311.96376337,333.19856682,327.38413278,343.97171555,343.85136856,379.13187025,375.18284339,357.17127641,441.05224098,437.59661735,437.57232513,460.20410301,438.70333517,454.28239645,487.0729895,529.13113905,534.28881903,514.07371255,495.11815345,508.92767668,518.09482066,523.97207347,505.30904315,546.70396563,546.69583333,562.50818737,567.66813852,571.2895604,590.75671297,604.28339477,600.43350841,581.84206465,535.79731004,459.87309054,421.70857091,402.95145549,418.02108494,399.31424638,389.41563197,384.23145615,396.16577593,377.92902198,378.73659697,372.59919532,375.56019764,393.61078707,398.40945527,396.12888421,395.89122982
Cambodia,,,,,,,,,,,,,,,,,,,,,1044.7340244,993.42379729,931.2901901,746.48845799,700.47718636,701.21624755,727.40672561,641.57216309,662.88271149,581.24156174,535.71545795,521.42180919,505.71484203,512.26180387,527.65391105,541.20334265,542.58400814,659.34855311,738.72611271,726.04973834,704.9762074,728.02845019,753.3652256,829.11463179,826.62161053,813.58874527,830.17311952,859.06636863,887.95803968,972.74382242,1023.9473024,1085.0181085,1154.0272193,1229.3773211,1337.8961216,1489.046957,1618.1988542,1704.5854492,1792.428213,1875.6696294,1890.0383153
Cameroon,,,,,,,,,,,1419.166512,1416.5346109,1433.9824818,1454.6527938,1480.853028,1510.1070881,1548.8750417,1349.0095032,1421.1614889,1442.4830541,1477.3893619,1551.3493884,1545.8276422,1561.9271942,1650.4477802,1822.079903,1676.1694199,1903.7949154,2233.4539331,2281.3320711,2119.9795774,2205.8194316,2279.1581101,2376.5446505,2475.917161,2418.2354152,2217.7884905,2017.4288107,1912.7866572,1862.1556051,1784.1801675,1659.1332374,1575.2866099,1496.2187635,1439.1049267,1445.74491,1507.0580032,1547.7187484,1583.0882691,1609.7804169,1636.6452477,1662.29379,1692.7424519,1722.1106263,1741.1085574,1742.6942489,1759.622005,1781.3415464,1756.9051433,1745.7399159,1747.9412302
